,0,1
290,K-023319,200802864
291,K-045402,201900672
292,K-011973,200201771
293,K-035275,201500509
294,K-004026,199300208
295,K-025347,200901668
296,K-031699,201308922
297,K-025968,200904632
298,K-033805,201403697
299,K-009614,200004478
300,K-022074,200709390
301,K-018742,200600821
302,K-044660,201803907
303,K-017254,200501660
304,K-033284,201402678
305,K-041997,201705467
306,K-004265,199302027
307,K-012155,200202573
308,K-019803,200608339
309,K-000117,197000053
310,K-029341,201200380
311,K-034855,201405753
312,K-013006,200300917
313,K-008734,200000559
314,K-023957,200806454
315,K-022377,200710882
316,K-016982,200501095
317,K-030459,201210185
318,K-007120,199801495
319,K-022144,200709806
320,K-008876,200001172
321,K-016735,200500569
322,K-038695,201601896
323,K-023226,200802222
324,K-028641,201104578
325,K-030232,201207514
326,K-015750,200403634
327,K-033275,201402642
328,K-002520,198802327
329,K-023629,200805092
330,K-022470,200711458
331,K-000647,198000119
332,K-006131,199700557
333,K-003089,199001232
334,K-051115,202002246
335,K-023635,200805124
336,K-020697,200703087
337,K-016335,200410660
338,K-035802,201501708
339,K-005706,199601642
340,K-033823,201403734
341,K-030857,201306176
342,K-019862,200610661
343,K-033623,201403391
344,K-029946,201206613
345,K-029357,201200635
346,K-025194,200900767
347,K-000294,197500186
348,K-018263,200512041
349,K-028423,201102768
350,K-013959,200308625
351,K-025648,200903579
352,K-019286,200606183
353,K-001867,198700431
354,K-011648,200200772
355,K-003726,199201045
356,K-019259,200605482
357,K-034465,201404981
358,K-006808,199704519
359,K-002745,198901207
360,K-029830,201206201
361,K-010159,200008798
362,K-021555,200707222
363,K-028144,201100812
364,K-018254,200511904
365,K-030779,201305399
366,K-033880,201403839
367,K-032185,201310299
368,K-038575,201601581
369,K-002596,198900129
370,K-009496,200003409
371,K-029632,201204675
372,K-026794,200907446
373,K-014913,200401882
374,K-001366,198401289
375,K-038216,201600490
376,K-013470,200301966
377,K-011226,200108676
378,K-017021,200501190
379,K-035788,201501693
380,K-027735,201005083
381,K-015469,200403004
382,K-020558,200702521
383,K-010769,200101844
384,K-013906,200308344
385,K-025601,200903224
386,K-027440,201003213
387,K-003105,199001352
388,K-004535,199400456
389,K-044529,201803561
390,K-013474,200301983
391,K-010505,200100847
392,K-033332,201402832
393,K-028983,201109238
394,K-015504,200403060
395,K-011262,200108800
396,K-003986,199203487
397,K-007770,199900642
398,K-014853,200401743
399,K-031864,201309348
400,K-008455,199906977
401,K-033046,201402038
402,K-012687,200300200
403,K-036232,201502706
404,K-036480,201503253
405,K-030689,201302981
406,K-028683,201105143
407,K-003173,199002349
408,K-016742,200500578
409,K-013641,200302457
410,K-026636,200906484
411,K-025437,200902213
412,K-020154,200700455
413,K-031974,201309612
414,K-023248,200802337
415,K-013735,200302831
416,K-020348,200701412
417,K-000296,197500188
418,K-000608,197900574
419,K-012685,200300198
420,K-025367,200901817
421,K-003708,199200883
422,K-005068,199500901
423,K-001760,198601341
424,K-033874,201403833
425,K-008738,200000569
426,K-009461,200003112
427,K-026305,200905411
428,K-012779,200300418
429,K-002220,198800558
430,K-021405,200706400
431,K-030024,201206828
432,K-028635,201104471
433,K-013375,200301759
434,K-016427,200411067
435,K-024939,200811058
436,K-020379,200701738
437,K-002857,198902277
438,K-008996,200001772
439,K-027733,201005081
440,K-003709,199200884
441,K-039123,201603044
442,K-031663,201308718
443,K-035805,201501711
444,K-028408,201102619
445,K-036634,201503645
446,K-004168,199301198
447,K-003345,199101086
448,K-028633,201104457
449,K-027193,201001804
450,K-025979,200904655
451,K-016431,200411086
452,K-013635,200302420
453,K-059525,202101580
454,K-038929,201602615
455,K-001677,198600509
456,K-018681,200600625
457,K-018145,200511056
458,K-029218,201110516
459,K-022846,200713803
460,K-039147,201603069
461,K-018507,200600315
462,K-026427,200905653
463,K-008514,199907231
464,K-001889,198700641
465,K-030992,201306534
466,K-000465,197800132
467,K-002539,198802489
468,K-028951,201109150
469,K-007598,199900033
470,K-000271,197500015
471,K-004103,199300703
472,K-036312,201502890
473,K-015805,200403794
474,K-028994,201109259
475,K-002257,198800902
476,K-038972,201602714
477,K-008900,200001305
478,K-032941,201401570
479,K-002614,198900223
480,K-022919,200800337
481,K-016302,200410519
482,K-032657,201400757
483,K-003496,199102270
484,K-017707,200502600
485,K-006762,199703551
486,K-025200,200900833
487,K-020151,200700439
488,K-005118,199501299
489,K-032672,201400828
490,K-032616,201400606
491,K-035048,201406189
492,K-044834,201804394
493,K-018157,200511068
494,K-022977,200800688
495,K-007131,199801522
496,K-032359,201310842
497,K-032394,201310950
498,K-033682,201403468
499,K-037283,201506004
500,K-000065,196400099
501,K-035259,201500458
502,K-045862,201901425
503,K-037500,201506815
504,K-001707,198600879
505,K-012506,200209900
506,K-003544,199102825
507,K-020890,200703826
508,K-001745,198601223
509,K-033091,201402137
510,K-004580,199400704
511,K-030670,201302680
512,K-002827,198901918
513,K-020423,200701968
514,K-032904,201401484
515,K-023829,200805895
516,K-008141,199902689
517,K-008940,200001493
518,K-023287,200802656
519,K-036018,201502371
520,K-028814,201107223
521,K-016251,200410144
522,K-027143,201001637
523,K-004411,199304200
524,K-037046,201505023
525,K-018990,200603930
526,K-015754,200403646
527,K-011541,200200399
528,K-010112,200005886
529,K-000774,198100341
530,K-016068,200404677
531,K-037578,201507099
532,K-003137,199001612
533,K-029186,201110398
534,K-019861,200610660
535,K-027078,201001008
536,K-023142,200801686
537,K-038896,201602544
538,K-028971,201109226
539,K-011836,200201436
540,K-035326,201500638
541,K-026894,200908494
542,K-027070,201001000
543,K-031026,201306905
544,K-026093,200904932
545,K-029017,201109291
546,K-003705,199200870
547,K-022348,200710759
548,K-017316,200501789
549,K-017479,200502126
550,K-026813,200907783
551,K-000345,197600065
552,K-008441,199906868
553,K-006984,199800835
554,K-030891,201306340
555,K-023612,200804957
556,K-004158,199301093
557,K-014224,200400392
558,K-016712,200500541
559,K-035882,201501892
560,K-011871,200201549
561,K-013401,200301831
562,K-038243,201600574
563,K-000576,197900284
564,K-040339,201605340
565,K-027338,201002745
566,K-012249,200202893
567,K-015543,200403184
568,K-034093,201404241
569,K-034087,201404225
570,K-005589,199600864
571,K-016538,200500238
572,K-017525,200502216
573,K-019214,200605403
574,K-034142,201404364
575,K-035381,201500752
576,K-008976,200001713
577,K-030301,201208256
578,K-005090,199501072
579,K-030042,201206856
580,K-012137,200202362
581,K-033198,201402431
582,K-016230,200410082
583,K-022749,200713170
584,K-029607,201204389
585,K-037267,201505921
586,K-016930,200501012
587,K-035000,201406092
588,K-004635,199401025
589,K-022039,200709253
590,K-014383,200400790
591,K-032954,201401680
592,K-036677,201503866
593,K-004632,199400991
594,K-004913,199500043
595,K-031969,201309603
596,K-002021,198701352
597,K-050539,202001134
598,K-023467,200803811
599,K-013467,200301956
600,K-029200,201110472
601,K-037490,201506797
602,K-037910,201507981
603,K-010738,200101683
604,K-031494,201308457
605,K-028456,201103356
606,K-031223,201307607
607,K-030507,201300016
608,K-035413,201500895
609,K-019972,200611310
610,K-037095,201505123
611,K-022329,200710633
612,K-014267,200400485
613,K-025218,200900896
614,K-011609,200200642
615,K-030590,201301591
616,K-014878,200401821
617,K-035291,201500533
618,K-021904,200708762
619,K-019046,200604193
620,K-017702,200502588
621,K-017288,200501724
622,K-030310,201208419
623,K-030520,201300047
624,K-005091,199501073
625,K-024584,200809204
626,K-018148,200511059
627,K-014025,200400065
628,K-037931,201508010
629,K-009033,200001932
630,K-025238,200900997
631,K-022333,200710638
632,K-017410,200501997
633,K-020167,200700540
634,K-036637,201503658
635,K-023779,200805735
636,K-005779,199602082
637,K-010531,200100922
638,K-006618,199702527
639,K-022134,200709788
640,K-035030,201406167
641,K-003351,199101125
642,K-006349,199701525
643,K-025077,200811812
644,K-027091,201001026
645,K-020451,200702137
646,K-025659,200903672
647,K-002160,198800154
648,K-030542,201300148
649,K-036857,201504306
650,K-031977,201309618
651,K-003490,199102137
652,K-034978,201406032
653,K-017286,200501721
654,K-011695,200200939
655,K-010220,200009022
656,K-025149,200900376
657,K-004379,199303109
658,K-025103,200812030
659,K-033609,201403363
660,K-019264,200605491
661,K-027816,201005763
662,K-014261,200400477
663,K-016096,200404721
664,K-008446,199906878
665,K-022412,200711116
666,K-011569,200200475
667,K-028073,201100373
668,K-008275,199903836
669,K-014406,200400841
670,K-019709,200608166
671,K-023486,200803973
672,K-037103,201505138
673,K-006435,199701908
674,K-034327,201404706
675,K-029975,201206706
676,K-022854,200713886
677,K-017517,200502201
